Catalogusnummer,Oudnummer
"24040","10.7-5.2"
"24034","10.8-5.2"
"24039","10.9-5.2"
"108738","100."
"108740","100."
"108737","100.  07-7  27"
"108739","100.  07-7  27"
"818386","100002"
"161288","10003"
"163086","10008"
"162404","10009"
"162391","10012"
"165275","10013"
"161423","10018"
"162049","10023"
"170293","10098"
"170289","10099"
"170290","10100"
"165279","10117"
"163087","10125"
"160788","1015"
"162384","10187"
"161416","10249"
"161143","10250"
"161142","10250"
"161293","10253"
"162287","103"
"161083","103 30"
"108741","103."
"160707","10310"
"161414","10319"
"161243","10320"
"161244","10321"
"161401","10322"
"161307","10323"
"160741","10331"
"162360","10332"
"108742","104"
"161784","104 089"
"161785","104 090"
"129837","10428"
"129831","10429"
"129829","10430"
"129828","10431"
"129830","10432"
"129836","10433"
"129840","10434"
"129841","10435"
"129838","10436"
"129839","10437"
"129826","10582"
"129827","10585"
"129779","10590"
"129778","10591"
"129781","10599"
"129780","10604"
"98986","106792"
"162311","1094"
"108677","11."
"23443","11.0-5.11"
"23491","11.10-5.7"
"23522","11.11-5.4"
"23523","11.12-5.4"
"23515","11.13-5.5"
"23524","11.14-5.4"
"23454","11.15-5.10"
"23517","11.15-5.5"
"23516","11.16-5.5"
"23514","11.17-5.5"
"23510","11.19-5.5"
"23442","11.2-5.11"
"23504","11.20-5.5"
"23509","11.21-5.5"
"23434","11.22-5.12"
"24357","11.23-8.4"
"24429","11.25-8.3"
"24343","11.27-8.1"
"24098","11.28-1.6"
"23518","11.30-5.5"
"23513","11.33-5.5"
"23508","11.36-5.5"
"23512","11.37-5.5"
"23494","11.6-5.7"
"23495","11.7-5.7"
"23493","11.8-5.7"
"109198","110"
"162990","11077"
"108744","111."
"108747","111."
"108746","111."
"108745","111."
"169343","112"
"165711","112"
"165706","112"
"166973","112"
"165707","112"
"165728","112"
"169348","112"
"165732","112"
"165710","112"
"165717","112"
"165716","112"
"169342","112"
"165725","112"
"165723","112"
"165719","112"
"165731","112"
"169346","112"
"169344","112"
"165721","112"
"165713","112"
"165729","112"
"165715","112"
"169345","112"
"165709","112"
"169347","112"
"165722","112"
"165730","112"
"165724","112"
"165727","112"
"165708","112"
"165718","112"
"165720","112"
"165714","112"
"165712","112"
"165726","112"
"165737","112.1"
"165733","112.1"
"165736","112.1"
"168013","112.1"
"165735","112.1"
"165734","112.1"
"164633","11313"
"164430","11597"
"108748","116"
"161798","116 586"
"108743","116. NEG. 03235"
"160927","1169 104"
"160928","1169 106"
"108749","117. NEG. 03234"
"108750","119"
"160796","119 360"
"811642","119197"
"98451","119198"
"98428","119199"
"108678","12."
"23496","12.10-5.6"
"23501","12.11-5.6"
"23502","12.12-5.6"
"23485","12.13-5.8"
"23484","12.14-5.8"
"23482","12.15-5.8"
"23483","12.16-5.8"
"23480","12.17-5.8"
"23481","12.18-5.8"
"23478","12.19-5.8"
"23479","12.20-5.8"
"23475","12.21-5.8"
"23476","12.22-5.8"
"23477","12.23-5.8"
"23472","12.24-5.8"
"23474","12.25-5.8"
"23471","12.26-5.8"
"23473","12.27-5.8"
"23432","12.28-5.14"
