Catalogusnummer,oudnummer_1,oudnummer_2,oudnummer_3
"78875","T.A. Sb 1.15",,
"46509","D.O.W. 1039",,
"71442","T.A. Trans 8 1985 (2)",,
"80001","T.A. Nd 4 (b)",,
"94277","T.A. 800-8",,
"76565","T.A. V 5.127",,
"82118","T.A. Ic 4.26",,
"94898","T.A. 2339",,
"68186","T.A. Oude Pijlsweerdstraat 16-lager 1980 (1)",,
"73742","T.A. Wilhelminapark 18-19 1973",,
"54751","T.A. Buurkerkhof 9 e-15 1974 (1)",,
"87925","1981.310",,
"80247","T.A. Ns 2.17",,
"93947","T.A. 1981-285",,
"54594","T.A. Brennerbaan 1985 (1)",,
"84271","T.A. Da 3.69 (E)",,
"80708","T.A. La 7.17 (b)",,
"43980","D.O.W. 475",,
"62507","T.A. Van Lieflandlaan 17 1967 (1)",,
"92901","T.A. 1979-436",,
"60085","T.A. Keizerstraat 45 1982 (4)",,
"91455","Doos 28, nr. 38",,
"82300","T.A. Ib 11.22",,
"44221","D.O.W. 528",,
"60480","T.A. Koningsweg c. 1945 (1)",,
"44643","D.O.W. 592 Y",,
"81478","T.A. Jc 4.6.7",,
"71382","T.A. Tolsteegsingel 39-lager 1976",,
"60143","T.A. J.M. Kemperstraat 18-lager 1991 (1)",,
"51017","T.A. Aardbeistraat 1977 (1)",,
"78752","T.A. Sa 11.6",,
"62850","T.A. Lijsterstraat 42-44-44bis 1974",,
"75858","T.A. T 18.29",,
"78493","T.A. Zr  26.2",,
"83361","T.A. G 1.1.40.4",,
"74038","T.A. Wittevrouwensingel 13-14 1977 (1)",,
"60517","T.A. Koningsweg 2A c. 1945 (3)",,
"60074","T.A. Keizerstraat 35 c. 1946 (1)",,
"86472","Verzameling 219 (145)",,
"90704","Doos 16, nr. 37",,
"93528","T.A. 1982-093",,
"85106","Verzameling 180 (33)",,
"25615","T.A. F 13.49",,
"64719","T.A. Neude 11-15 c. 1905 (1)",,
"66981","T.A. Oudegracht 147-169 (Bakkerbrug-Stadhuisbrug) 1975",,
"53540","T.A. Biltse Grift 1976 (6)",,
"90202","Doos 20, nr. 39",,
"88485","Doos 24, nr.66",,
"74539","T.A. Zeehaenkade 7 1987 (1)",,
"58297","T.A. Herenstraat 48-lager 1980 (1)",,
"78777","T.A. Sa 13.11.1",,
"61835","T.A. Lange Nieuwstraat 82 1974",,
"57418","T.A. 't Goylaan 129 1986 (3)",,
"52096","Verzameling 199 (312)",,
"73598","T.A. Westerkade c.1928 (1)",,
"70396","T.A. Springweg 13-15 1989 (1)",,
"23528","25.04-5.3",,
"68705","T.A. Pieterskerkhof 9 1982 (1)",,
"91138","Doos 23, nr. 35",,
"81548","T.A. Jc 4.37",,
"84910","T.A. Cg 18.0.2",,
"63221","T.A. Maliebaan 76-78 c. 1970 (1)",,
"93674","Prov. Utr. Welstands Cie Mon lijst Lopik 37",,
"65339","T.A.  Nieuwegracht  181-183 (Magdalenabrug-Agnietenstraat) 1992 (1)",,
"80003","T.A. Nd 4 (d)",,
"64405","T.A. Samuel Mullerstraat 1995 (1)",,
"65320","T.A.  Nieuwegracht  159 (Magdalenabrug-Agnietenstraat) 1967",,
"65432","T.A. Nieuwekade 1967 (G)",,
"94977","T.A. 2542",,
"70871","T.A. Stationsplein 1973 (7)",,
"69963","T.A. Schoutenstraat 13 1988 (8)",,
"90781","Doos 36, nr. 50",,
"45654","D.O.W. 808 C",,
"59504","T.A.  Jansveld  44   1973",,
"43224","D.O.W. 353 Ac",,
"51313","T.A. Achter de Dom 12 1983 (8)",,
"52414","T.A. Aziëlaan 520-762 1980 (1)",,
"88895","Doos 37, nr. 54",,
"93087","Prov. Utr. Welstands Cie Mon. lijst Loenen 35",,
"57935","T.A. Haverstraat 15-17 1976 (1)",,
"67615","T.A. Oudegracht 277 (bij de Smeebrug) 1988 (1)",,
"40209","D.O.W. 2 Ao (2)",,
"60538","T.A. Koningsweg (zuidoostelijk van nr. 372/374 1978 (1)",,
"67870","T.A. Oudegracht 364 (Geertebrug-Volderbrug) 1977 (1)",,
"59559","T.A.  Johan Willem Frisostraat  8-10   1973",,
"23419","12.35-7.5",,
"42671","D.O.W. 221 A",,
"51873","Verzameling 199 (89)",,
"82763","T.A. He 20",,
"70667","T.A. Springweg 162 1981 (3)",,
"76063","T.A. U 2.36 (B)",,
"67703","T.A. Oudegracht 320 (Smeebrug-Geertebrug) c. 1904 (1)",,
"80582","T.A. Mb 2.52.3",,
"72231","T.A. Visscherssteeg 15-lager 1979 (1)",,
"81743","T.A. Jb 4.31 (2)",,
"83902","T.A. F 5.5 (B)",,
"71453","T.A. Trans 14 1974",,
"85981","Verzameling 146 (230)",,
"70359","T.A. Spinozaweg c.1951 (1)",,
"90566","Doos 59, nr. 16",,
"71460","T.A. Trans 14 1988 (1)",,
"69591","T.A. Cornelis Roobolstraat 97 c. 1970 (1)",,
"90670","Doos 3, nr. 44",,
"62678","T.A. Lucasbolwerk 2-hoger 1988 (2)",,
"45117","D.O.W. 665 B",,
"54740","T.A.  Buurkerkhof  8-8b  1974   (2)",,
"45568","D.O.W. 778 Aa",,
"89862","Doos 64, nr. 35",,
"93919","T.A. 1981-266",,
"90213","Doos 44, nr. 23",,
"66593","T.A. Oudegracht (Viebrug-Jansbrug) 1918 (1-2)",,
"64521","T.A. Nachtegaalstraat 80 1987 (6)",,
"90907","Doos 44, nr. 33",,
"78531","T.A. Zu 41",,
"70995","T.A. Steenweg 30 1989 (1)",,
"65298","T.A.  Nieuwegracht  141  (Magdalenabrug-Agnietenstraat)    c. 1915  (1)",,
"81745","T.A. Jb 4.31 (4)",,
"66565","T.A. Oudegracht   56  (Jacobibrug-Viebrug)  c. 1975  (1)",,
"82675","T.A. Hm 24.4",,
"76405","T.A. V 5.65.9.2",,
"82053","T.A. Ic 3.14 (A)",,
"69883","T.A. Schimmelpenninklaan 34-hoger 1995 (1)",,
"56333","T.A. Drift 21 1981 (1)",,
"63327","T.A. Maliesingel 12 1980 (3)",,
"58005","T.A. Havikstraat 1962 (1)",,
"42020","T.A. D.O.W. 159 Q",,
"75905","T.A. T 23.8",,
"83745","T.A. F 14.70 (b)",,
"80384","T.A. Na 3.52.2",,
"57377","T.A. Goedestraat 82-lager 1980 (1)",,
"55936","T.A. Domplein 1982 (2)",,
"75488","T.A. T 3.13",,
"86853","T.A. Jacobskerksteeg c. 1930 (1)",,
"94921","T.A. 2495",,
"52061","Verzameling 199 (277)",,
"89248","Doos 63 nr. 50",,
"82729","T.A. He 7 (C)",,
"85710","Verzameling 174",,
"56549","T.A. Emmalaan 33-hoger 1988 (1)",,
"42349","D.O.W. 196 W",,
"75070","T.A. Tj 22.13",,
"57333","T.A. Goedestraat 71-lager 1980 (1)",,
"60998","T.A. Kromme Nieuwegracht    49    1991  (3)",,
"75144","T.A. Ta 22.8",,
"85050","Verzameling 183",,
"61207","T.A. Kromme Rijn c. 1958",,
"93848","T.A. 1981-212",,
"54641","T.A. Brigittenstraat 22 1988 (1)",,
"75657","T.A. T 16.5F",,
"65282","T.A.  Nieuwegracht  (Magdalenabrug-Agnietenstraat)    1997  (1)",,
"74018","T.A. Wittevrouwensingel 1972 (3)",,
"76223","T.A. U 2.135 (H)",,
"61926","T.A. Lange  Smeestraat    6 -8    1974",,
"84349","T.A. Ca 2 (6)",,
"14049","AC 12-241-3-1",,
"68096","T.A. Oude Kerkstraat 2a 1984 (4)",,
"59973","T.A. Kapelstraat   12-14   1975",,
"51608","T.A. Ambachtstraat 2 1989 (1)",,
"6188","T.A. 1979.214",,
"68231","T.A. Oudkerkhof 15 1988 (1)",,
"73104","T.A. Vredenburg 89-90 1994 (1)",,
"95194","Prov. Utr. Welstands Cie Mon lijst IJsselstein 76",,
"88907","Doos 07, nr. 24",,
"70836","T.A. Stationsplein 1971 (2)",,
"91175","Doos 23, nr. 38",,
"83267","T.A. G 1.13.11",,
"91333","Doos 56, nr. 24",,
"65745","T.A. Notebomenlaan   83/83 bis  - lager   1980  (1)",,
"74659","T.A. Zonnenburg 1990 (1)",,
"60292","T.A. Kleine Geertekerkhof 7-11 1983 (1)",,
"93400","T.A. 1979-349",,
"43713","D.O.W. 485 B",,
"77908","T.A. Zi 10.7",,
"69578","T.A. Roerstraat 1989 (3)",,
"56488","T.A. Eligenstraat 31-hoger 1980 (1)",,
"92140","1978.123",,
"88223","Doos 34, nr. 67",,
"91490","Doos 42, nr. 70",,
"79049","T.A. Sa 16.4 (K)",,
"5964","T.A. 347-3",,
"78268","T.A. Zk 22.4",,
"58721","T.A. Houtstraat 46-hoger 1985 (1)",,
"70303","T.A. Sonoystraat 83-lager 1978 (1)",,
"72674","T.A. Voorstraat  89   1985 (9)",,
"91507","Doos 32, nr. 10",,
"58819","T.A. Ibisdreef 5 1970 (1)",,
"84701","T.A. Ca 23.11",,
"86481","Verzameling 219 (104)",,
"86525","Verzameling 219 (160)",,
"85179","Verzameling 174",,
"71606","T.A. Trumanlaan 295-hoger c. 1955 (1)",,
"55580","T.A. Croeselaan 18 1984 (14)",,
"74299","T.A. Wijde Begijnestraat 19 1991 (7)",,
"52310","T.A. Van Asch van Wijckskade 12-19 1977 (1)",,
"54748","T.A. Buurkerkhof 9B-hoger 1976 (1)",,
"74119","T.A. Wittevrouwensingel 91-94 c. 1950 (1)",,
"88686","Doos 32, nr. 32",,
"24352","14.31-8.2",,
"24038","25.11-5.2",,
"83754","T.A. F 14.73.2",,
"64673","T.A. Neude 7 1913 (1)",,
"62620","T.A. Lombokstraat c. 1965 (1)",,
"69394","T.A. Rembrandtkade +/- 1915",,
"60544","T.A. Koningsweg (372/374) 1982 (1.1)",,
"76299","T.A. V 3.14",,
"65526","T.A. Laan van Nieuw Guinea 26-28 1989 (1)",,
"86518","Verzameling 219 (107)",,
"64697","T.A. Neude 11 1978 (1)",,
"63640","T.A.  Mariaplaats   9-10    1974",,
"93207","T.A. 1979-571",,
"87904","1981.377",,
"58029","T.A. Joseph Haydnlaan 2 1981 (10)",,
"87722","Verzameling 172 (946)",,
"71261","T.A. Thorbeckelaan 55 c.1960 (1)",,
"221413","I.A.  van Naamen van Eemnes, A.  (1?), in: Fruin, J.A. (7),  pagina 17 r.b.",,
"221843","H.A. V 11.46",,
"221816","H.A. V 11.46",,
"601206","H.A. V 6.16",,
"300682","H.A. V 18.71",,
"300190","T.A. Zn 2",,
"300949","H.A. V 23.58",,
"300751","H.A. V 18.151",,
"300502","H.A. V 35.15",,
"300993","H.A. V 26.8",,
"300247","800319",,
"601210","H.A. V 6.20",,
"300552","H.A. V 26.3",,
"221923","H.A. V 11.46",,
"301012","H.A. V 26.199",,
"501103","72-40",,
"300381","H.A. V 31.98",,
"220354","T.A. To 22.21",,
"300830","H.A. V 19.77",,
"301019","H.A. V 26.201",,
"220107","H.A. V 54.3.10.1",,
"220583","H.A. V 6.73",,
"300974","H.A. V 25.4",,
"601144","H.A. V 1.63",,
"221441","I.A.  Wertheim, A.C.  (1?), in: Fruin, J.A. (7),  pagina 24 l.o.",,
"221509","in: I.A.  Fruin, J.A. (8) ,  pagina  15, nr. 69",,
"350674","H.A. V 23.9",,
"300731","H.A. V 18.119",,
"300025","H.A. T 94.9",,
"221918","H.A. V 11.46",,
"300676","H.A. V 18.65",,
"501284","A11/17",,
"300021","H.A. T 92.36",,
"221668","in: I.A.  Fruin, J.A. (8) ,  pagina  51, nr. 292",,
"221341","I.A.  Gemeentelijke Instellingen, Gemeenteraad  (2), pagina 7",,
"221911","H.A. V 11.46",,
"350002","H.A. V 1.1",,
"221630","in: I.A.  Fruin, J.A. (8) ,  pagina  41, nr. 231",,
"300922","H.A. V 21.76",,
"300368","H.A. V 30.46",,
"220552","H.A. V 6.73",,
"405925","oud Atlantis nr. 816764",,
"221401","I.A.  Coninck Liefsting, D.F. (1?), in: Fruin, J.A. (7),  pagina 14 r.b.",,
"300560","H.A. V 28.30",,
"221544","in: I.A.  Fruin, J.A. (8) ,  pagina  23, nr. 115",,
"300750","H.A. V 18.150",,
"502263","oud Atlantis-nr. 827303",,
"300714","H.A. V 18.92",,
"300090","T.A. Sa 14.10",,
"221927","H.A. V 11.46",,
"221238","I.A.  Van Appelen van Oorde.  ?.  (nr.?)  in: De Watteville, W.H. (4),  nr. 22",,
"221618","in: I.A.  Fruin, J.A. (8) ,  pagina  39, nr. 218",,
"300150","T.A. Re 2.8",,
"300266","H.A. V 40.6",,
"301046","H.A. V 26.212",,
"300526","H.A. V 32.17",,
"350777","AC 12/191-1",,
"600010","AC 10-87",,
"301006","H.A. V 26.154",,
"221532","in: I.A.  Fruin, J.A. (8) ,  pagina  19, nr. 95",,
"300309","H.A. V 39.5",,
"300493","H.A. V 36.142",,
"220336","T.A. U 2.60",,
"221724","Verzameling 4 (9)",,
"300209","T.A. V 5.64",,
"221450","I.A.  Fruin, J.A. (8) , titelpagina",,
"300293","H.A. V 39.16",,
"220577","H.A. V 6.73",,
"350735","H.A. V 13.2",,
"300280","H.A. V 39.55",,
"602319","Verzameling 211 (30)",,
"220713","T.A. Muller 247-8",,
"221861","H.A. V 11.46",,
"300719","H.A. V 18.92",,
"300809","H.A. V 19.71",,
"300458","H.A. V 37.28",,
"300435","H.A. V 38.13",,
"220018","Verzameling 150 (21)",,
"301076","H.A. V 29.71",,
"404911","6633",,
"602849","811614",,
"221836","H.A. V 11.46",,
"221133","verzameling 200 (5-47)",,
"501105","72-42",,
"501061","76.40",,
"221590","in: I.A.  Fruin, J.A. (8) ,  pagina  33, nr. 178",,
"220686","H.A. V 6.73",,
"350270","Verzameling 221 (1)",,
"300605","H.A. V 17.21",,
"221628","in: I.A.  Fruin, J.A. (8) ,  pagina  41, nr. 228",,
"602299","Verzameling 211 (9)",,
"300056","T.A. Zf 14.13",,
"300828","H.A. V 19.77",,
"221284","I.A.  Beeckman,  ?.  (nr.?)  in: De Watteville, W.H. (4),  nr. 68",,
"501091","08.01.03",,
"403662","T.A. Na 1.1 (d2)",,
"221116","verzameling 200 (3-48)",,
"220609","H.A. V 6.73",,
"300744","H.A. V 18.142",,
"501101","72-38",,
"220649","H.A. V 6.73",,
"501038","5923 59 23",,
"221915","H.A. V 11.46",,
"221560","in: I.A.  Fruin, J.A. (8) ,  pagina  26, nr. 138",,
"221348","I.A.  Gemeentelijke Instellingen, Gemeenteraad  (5), pagina 9",,
"300556","H.A. V 26.3",,
"600187","T.A. Hm 31 (D)",,
"221215","I.A.  Crommelin,  M.  (2)  in: De Watteville, W.H. (3),  nr. 56",,
"301026","H.A. V 26.201",,
"221870","H.A. V 11.46",,
"300681","H.A. V 18.70",,
"221406","I.A.  Mees, M.  (1?), in: Fruin, J.A. (7),  pagina 15 l.o.",,
"300118","T.A. Sa 3.31",,
"601972","26475",,
"300208","T.A. V 5.64",,
"300067","T.A. Zb 6",,
"300113","H.A. V 5.9",,
"300077","T.A. Y 14.3",,
"221344","I.A.  Gemeentelijke Instellingen, Gemeenteraad  (5), pagina 5",,
"300038","T.A. Zk 18.38",,
"300752","H.A. V 18.151",,
"300988","H.A. V 26.8",,
"221125","verzameling 200 (4-52)",,
"220099","H.A. V 54.3.10.1",,
"300321","H.A. V 29.72",,
"220680","H.A. V 6.73",,
"220012","Verzameling 150 (14)",,
"405208","oud-atlantis nummer 816758",,
"602296","Verzameling 211 (6)",,
"301064","H.A. V 27.33",,
"220080","H.A. T 96.31 (22)",,
"221901","H.A. V 11.46",,
"97915","Verzameling 152 (79)",,
"102573","H.A. V 79.1.12.1",,
"108552","SSFU-nr. 1996-2 (15)",,
"103777","I.A. Gemeentelijke Instellingen Gemeenteraad 4",,
"103103","H.A. V 83.2.12.8",,
"102853","H.A. V 80.10.27.5",,
"97911","Verzameling 152 (75)",,
"109629","H.A. V 36.119",,
"105316","I.A.  Klinkenberg,  A.   (1)",,
"99675","H.A. V 37.35",,
"100664","H.A. V 61.8.9.5",,
"101226","H.A. V 66.11.24.2",,
"103925","I.A.  van Bakel,  C.M.P.  (2)",,
"129581","H.A. T 96.30 (71)",,
"107804","SSFU-nr. 1990-1 (1)",,
"100655","H.A. V 61.7.4.9",,
"98007","Verzameling 159 (5)",,
"121571","Verzameling 148 (6)",,
"109490","H.A. V 31.138",,
"102529","H.A. V 77.10.14.1",,
"103498","H.A. V 91.7.15.5",,
"100313","H.A. V 55.9.13.1",,
"102527","H.A. V 77.9.29.1",,
"105098","I.A.  van Huffel,  A.J.  (1)",,
"109651","H.A. V 36.143",,
"106211","I.A.  van Rhede van de Kloot,   E.E.  (1)",,
"104328","I.A.  Cohen,   E.    (2)",,
"102506","H.A. V 77.4.7.5",,
"101539","H.A. V 68.6.15",,
"106798","I.A. Vereniging R.K. Slagerspatroonsvereniging St. George  (1)",,
"121503","Verzameling 83",,
"101254","H.A. V 66.12.27.5",,
"101266","H.A. V 67.1.27",,
"100563","H.A. V 59.8.8.1",,
"98739","H.A. V 23.13",,
"101504","H.A. V 68.4.22.2",,
"104151","I.A.  Boudier-Bakker, Ina    (17)",,
"101844","H.A. V 69.9.10",,
"101245","H.A. V 66.12.21.1",,
"101472","H.A. V 68.3.1.2",,
"105376","I.A.  Koorders,   D.  (1)",,
"107932","SSFU-nr. 1990-4 (9)",,
"103771","I.A. Gemeentelijke Instellingen Bestuur B. en W. 20",,
"98652","H.A. V 17.109",,
"120364","T.A. Eo 15.181","T.A. Oudegracht (Jansbrug - Bakkerbrug) 1911","Verzameling 66"
"124461","T.A. Hl 32","Vervallen Atlantisnr. 3163","Verzameling 77 (9)"
"125992","T.A. Qb 24.4","Verzameling 3","T.A. Jutfaseweg 7 1929 (1)"
"122920","T.A. Eo 15.282","T.A. Oudegracht (Bakkerbrug - Stadhuisbrug) 1878 (2)","Verzameling 18 (16)"
"99243","T.A. H.A. V 30.108","T.A. Hp 95.7","82552"
"98302","AC 10-48","129389","H.A. V 7.55"
"127794","T.A. Z-1427","7040 - 14a","1985.054"
"120385","T.A. Hd 92","Verzameling 64","AC 6-39"
"98811","H.A. V 24.8","H.A. V 24.7","H.A. V 24.9"
"124454","T.A. Hd 145","Vervallen Atlantisnr. 3055","Verzameling 77 (2)"
"122468","T.A. Oudegracht (Gaardbrug - Hamburgergbrug) ca. 1890","T.A. Eo 15.521","Verzameling 17 (3)"
"124111","Vervallen Atlantis 3278","T.A. Hp 60","Verzameling 87 (3)"
"98298","H.A. V 7.48","H.A. V 7.53","129388"
"121522","T.A. Zi 15.8","Vervallen Atlantisnummer: 4595","Verzameling 76 (5)"
"122924","T.A. Ev 18.14","T.A. Vredenburg 1878 (1)","Verzameling 18 (20)"
"121528","T.A. Ed 12.62.1","Vervallen Atlantisnummer: 238","Verzameling 95 (1)"
"124120","Verzameling 87 (12)","Vervallen Atlantis 4033",
"125927","T.A. F 8.11.1","Verzameling 120 (7)",
"123794","T.A. 2000.0.441","T.A. Z-1414",
"120393","T.A. G 1.6.01","Verzameling 119",
"121019","D.O.W. 85","Verzameling 123 (10)",
"122598","T.A. Pa 19 (H)","Verzameling 1 (8)",
"122233","T.A. Vredenburg 1877 (2)","Verzameling 16",
"125951","T.A. F 8.11.1","Verzameling 120 (33)",
"123889","T.A. Zk 5.9 (4)","Verzameling 81 A",
"98270","H.A. V 7.18","H.A. V 7.20",
"121050","D.O.W. 1 J","Verzameling 123 (41)",
"121049","Verzameling 123 (40)","D.O.W. 1 K",
"121123","D.O.W. 4 C","Verzameling 123 (113)",
"128012","DED 33","AXF 4 x",
"122947","T.A. Zk 16.15","Verzameling 19 (24)",
"123118","T.A. X 5.19","Verzameling 75 B",
"125968","T.A. F 8.11.1","Verzameling 120 (50)",
"122397","T.A. Bemuurde Weerd c. 1860 (1)","Verzameling 74",
"106843","I.A.  Vereniging, Wapenhandel ""Tyr""  (1)","I.A.  Vereniging, Wapenhandel ""Tyr""  (2)",
"122352","T.A. Oudegracht (Gaardbrug-Hamburgerbrug) c. 1870","Verzameling 73",
"129540","H.A. T 96.30 (27)","H.A. T 96.31 (10, rechter foto)",
"123875","T.A. Jb 3.21","Verzameling 71",
"122933","T.A. Qa 3.4","Verzameling 19 (9)",
"122913","T.A. Zk 18.19","Verzameling 18 (9)",
"121043","D.O.W. 1 D","Verzameling 123 (34)",
"122228","T.A. Na 3.29","Verzameling 16",
"120392","T.A. G 1.6.01","Verzameling 119",
"122356","T.A. Vismarkt c. 1870 (2)","Verzameling 79",
"122238","T.A. Hp 40 (B)","Verzameling 16",
"122932","T.A. Qa 3.3","Verzameling 19 (8)",
"122937","T.A. T 4.7","Verzameling 19 (13)",
"122267","T.A. Korte Nieuwstraat 2 1877 (1)","Verzameling 16",
"122264","T.A. Zi 3.3","Verzameling 16",
"97317","T.A. Domplein  Opgravingen 1933 (76)","T.A. Ed 12.25",
"120400","T.A. G 1.6.01","Verzameling 119",
"125981","T.A. F 8.11.1","Verzameling 120 (63)",
"105841","I.A.  Nassau,   J. van  (5a)","T.A  Gb 3.15.1",
"120399","T.A. G 1.6.01","Verzameling 119",
"120369","T.A. Hd 127","Verzameling 66",
"97542","H.A. V 43.9","Verzameling 200 (3-44)",
"98622","H.A. V 15.14","H.A. V 15.8",
"121120","D.O.W. 4 B","Verzameling 123 (110)",
"103745","I.A. Gemeentelijke Instellingen Bestuur B. en W. 1","I.A. Gemeentelijke Instellingen Bestuur B. en W. 2",
"125967","T.A. F 8.11.1","Verzameling 120 (49)",
"128013","AXF 8","ABA II 16",
"121036","D.O.W. 39 C","Verzameling 123 (27)",
"122280","Verzameling 16","T.A. Zh 1.3",
"122399","T.A. Ca 1","Verzameling 74",
"120376","T.A. Bollenhofsestraat 134-140 1909 (1)","Verzameling 66",
"122936","T.A. Qb 12.5","Verzameling 19 (12)",
"101804","H.A. V 69.7.19.11",,
"106016","I.A.  van Overbeek,  W.H.   (1)",,
"98477","H.A. V 11.47",,
"98588","H.A. V 13.45",,
"99503","H.A. V 35.6",,
"106071","I.A.  Plomp,  D.C.   (1)",,
"105154","I.A.  's Jacob,   H.Th.   (1)",,
"101716","H.A. V 69.1.31",,
"108489","SSFU-nr. 1995-4 (15)",,
"99545","H.A. V 35.26",,
"103724","H.A. V 96.11.29.3",,
"105905","I.A.  Nijland,  A.J.   (3)",,
"97853","Verzameling 152 (17)",,
"98487","H.A. V 11.56",,
"98544","H.A. V 11.28",,
"102056","H.A. V 70.4.30.17",,
"99077","T.A. H.A. V 28.43",,
"108979","339",,
"100087","H.A. V 49.5.4.4",,
"102510","H.A. V 77.6.17.1",,
"103908","I.A.  Averkamp, A.  (4)",,
"101602","H.A. V 68.9.6.3",,
"98113","H.A. V 1.76",,
"102548","H.A. V 78.2.0.2",,
"103016","H.A. V 82.9.14.1",,
"109102","452",,
"101367","H.A. V 67.9.4.3",,
"108205","SSFU-nr. 1991-6 (24)",,
"103858","I.A.  Alfrink, B.J.  (6)",,
"101823","H.A. V 69.8.16.2",,
"101752","H.A. V 69.3.15.1",,
"106259","I.A.  Röell,  W.C.   (1)",,
"100783","H.A. V 62.12.3.4",,
"109032","406  12326",,
"97724","Verzameling 157 (26)",,
"106017","I.A.  van Overbeel de Meijer,  G.   (1)",,
"108369","SSFU-nr. 1993-3 (14)",,
"106837","I.A. Vereniging tot Verbetering van de Armenzorg   (2)",,
"105806","I.A.  de Muralt,   J.L.  (2)",,
"101630","H.A. V 68.9.16.2",,
"103443","H.A. V 90.5.1.1",,
"97418","H.A. V 40.3.8.1",,
"108053","SSFU-nr. 1990-8 (21)",,
"124839","Verzameling 166 (43)",,
"108190","SSFU-nr. 1991-6 (9)",,
"103476","H.A. V 90.9.8.1",,
"107817","SSFU-nr. 1990-1 (14)",,
"102333","H.A. V 73.9.5.29",,
"97639","H.A. V 45.5.7.27",,
"104010","I.A.  Begeer,  C.L.J.   (2)",,
"97928","Verzameling 153 (12)",,
"107229","I.A.  IJkelenstam,   H.  (1)",,
"97734","Verzameling 157 (36)",,
"124694","H.A. V 45.6.6.50",,
"106244","I.A.  Ritter jr.,   P.H.   (5)",,
"105414","I.A.  Kroes.   W.H.  (1)",,
"101207","H.A. V 66.11.6",,
"106709","I.A.  Universiteit,  U.S.C.,  Senaat.   (33)",,
"102236","H.A. V 72.5.2",,
"101467","H.A. V 68.2.27.2",,
"98496","H.A. V 11.66",,
"109666","H.A. V 36.156",,
"97172","I.A. Grolman. A.E. (1)",,
"105051","I.A.  d' Hont,  P.H.  (2)",,
"104697","I.A.  Gemeentelijke Instellingen,  Migrantenraad   (1)",,
"103302","H.A. V 86.9.1.5",,
"103702","H.A. V 96.3.26.4",,
"99435","H.A. V 34.5",,
"97567","H.A. V 43.38",,
"99463","H.A. V 34.22",,
"107016","I.A. Wagenaar,  J.  (22)",,
"105447","I.A.  Kwint,  H.   (1)",,
"101668","H.A. V 68.11.12.3",,
"101627","H.A. V 68.9.13.1",,
"104220","I.A.  Brondgeest,  P.Q.   (4)",,
"108496","SSFU-nr. 1995-2 (7)",,
"101463","H.A. V 68.2.24.1",,
"98857","T.A. H.A. V 24.55",,
"105548","I.A.  de Lind van Wijngaarden,   J.D.    (4)",,
"99216","T.A. H.A. V 30.81",,
"100417","H.A. V 56.7.3.8",,
"99006","T.A. H.A. V 27.35",,
"100882","H.A. V 64.1.3",,
"122340","T.A. Zb 7 (O)",,
"98424","Verzameling 137 (4)",,
"105789","I.A.  Muller,  F.E.  (2)",,
"105109","I.A.  van Hulzen,  A.   (4)",,
"97666","H.A. V 45.6.12.2",,
"104428","I.A.  van Dokkum,  G.W.P.   (4)",,
"104585","I.A.  Feuchtinger,  M.E.  (1)",,
"129411","AC 10-58",,
"103097","H.A. V 83.2.12.2",,
"103190","H.A. V 84.2.16.8",,
"105729","I.A.  Miquel,  F.A.  (5)",,
"102808","H.A. V 80.9.3.2",,
"108874","245  NEG. 04427",,
"103439","H.A. V 90.4.19.2",,
"108853","220  NEG. 03509",,
"103728","H.A. V 97.3.7.1",,
"108048","SSFU-nr. 1990-8 (16)",,
"102625","H.A. V 79.3.3.6",,
"98032","Verzameling 160 (18)",,
"99313","T.A. H.A. V 31.11",,
"99301","T.A. H.A. V 31.1",,
"105043","I.A.  Hol,  R.  (6)",,
"109135","499",,
"100611","H.A. V 60.12.7.1",,
"97512","H.A. V 42.13",,
"128403","AYF 187",,
"122334","T.A. Zb 7 (J)",,
"97111","H.A. T 91.9",,
"99508","H.A. V 35.10.25.1",,
"104145","I.A.  Boudier, H.A.J.   (2)",,
"107942","SSFU-nr. 1990-4 (19)",,
"101958","H.A. V 70.3.12.2",,
"109423","H.A. V 31.59",,
"108378","SSFU-nr. 1993-3 (23)",,
"100722","H.A. V 62.4.23",,
"102881","H.A. V 81.5.2.1",,
"108371","SSFU-nr. 1993-3 (16)",,
"98681","H.A. V 18.175.1",,
"105218","I.A.  Jonkman,   H. F.   (1)",,
"129436","AC 10-64",,
"128096","AYF 46",,
"120287","I.A. Vereniging,  Centrale Bond van Transportarbeiders, afdeling Utrecht  (1)",,
"99552","H.A. V 35.31",,
"128099","AYF 96",,
"99809","H.A. V 19.34",,
"102256","H.A. V 72.6.24",,
"106193","I.A.  Reinalda,   M.A.   (2)",,
"129761","5416",,
"121065","Verzameling 123 (56)",,
"97558","H.A. V 43.29",,
"101841","H.A. V 69.9.4.3",,
"109095","445",,
"106612","I.A.  Taminiau,   Ph.   (1)",,
"108644","SSFU-nr. 1998-2 (42)",,
"109020","396",,
"98674","H.A. V 18.8.31.1",,
"104236","I.A.  ten Bruggenkate,  M.J.  (1)",,
"102329","H.A. V 73.9.5.25",,
"101048","H.A. V 65.8.26.3",,
"102976","H.A. V 82.6.21.2",,
"99473","H.A. V 34.30",,
"98542","H.A. V 11.28",,
"104074","I.A.  Boekelman, W.A.  (2)",,
"105538","I.A.  van Lier,  L.   (2)",,
"102734","H.A. V 80.4.21.1",,
"99183","T.A. H.A. V 30.25",,
