Catalogusnummer,oudnummer_1,oudnummer_2,oudnummer_3
"42032","T.A. D.O.W. 160","T.A. Adelaarstraat c. 1930 (1)","T.A. Ea 13.2"
"67189","T.A. Eo 15.496","T.A. Oudegracht  (Stadhuisbrug - Gaardbrug) 1938 (3)","T.A. Oudegracht (Gaardbrug - Hamburgerbrug) c. 1947"
"58680","T.A. Houtplein vóór 1957, 1960","T.A. Eh 35.2","Verzameling 172 (182)"
"87810","T.A. Jd 5.1","Verzameling 113","Verzameling 191 (80)"
"79196","T.A. Rc 4.1","Verzameling 172 (119)","D.O.W. 741 D"
"41225","D.O.W. 114 B","T.A. La 7.14","D.O.W. 114 M"
"59371","T.A. Ej 10.104","T.A. Janskerkhof 13 1943 (1)","Verzameling 200 (8-43)"
"42913","D.O.W. 280 F","T.A. Biltstraat 1950 (2)","T.A. Eb 23.2"
"67226","T.A. Oudegracht 172 (Stadhuisbrug-Gaardbrug) 1977 (1)","T.A. Gd 3.6.6.3",
"62038","T.A. Lange Viestraat 8-10 1903 (1)","El 17.18",
"64467","T.A. En 1.4","T.A. Nachtegaalstraat 1905-1910 (D)",
"61757","T.A. Lange Nieuwstraat nr. 119 1931","T.A. El 13.27",
"66886","T.A. Oudegracht  (Bezembrug-Stadhuisbrug) ± 1911 (1)","Eo 15396",
"41439","T.A. Mariaplaats 1972 (1)","D.O.W. 130 M",
"43432","D.O.W. 374 O","T.A. Jc 2.54 (7)",
"70809","Verzameling 200 (4-46)","T.A. Stationsplein 1944",
"51455","T.A. Adelaarstraat 1963 (1)","T.A. Ea 13.7",
"41202","D.O.W. 111 B","T.A. Wilhelminapark 65 c. 1925 (2)",
"72898","T.A. Vredenburg 1926 (1)","Ev 18 45",
"43319","D.O.W. 362 A","T.A. U 2.113 (c)",
"60378","T.A.  Koekoeksplein   1912","T.A.  Ek  21.1",
"55625","T.A. 1e Daalsedijk 1932 (2)","T.A. Ed 1.5",
"44345","D.O.W. 554 B","Verzameling 172 (322)",
"66915","T.A. Oudegracht  (Bakkerbrug-Stadhuisbrug) 1956","Eo 15319",
"62254","T.A. El 25.1","T.A. Leidseveer c. 1900-1909",
"67179","T.A. Eo 15.459","T.A. Oudegracht  (Stadhuisbrug - Gaardbrug) 1932 (1)",
"74660","T.A. Zonstraat 1911 (A)","T.A. Ez 7.3",
"44050","D.O.W. 493 F","T.A. Df 7 (b)",
"61153","T.A. Kromme Nieuwegracht 66 1933","T.A. Ek 38.142",
"87153","D.O.W. 715 Au","Verzameling 172 (271)",
"24674","T.A. Hm 27 (A)","T.A. Hm 31 (2)",
"59562","T.A. Ev 5.02.1","T.A. Kardinaal de Jongweg 1963",
"53529","T.A. Biltse Grift 1908 (1)","T.A. Eb 22.1",
"81255","T.A. Jd 2.32 (c)","D.O.W. 483 J",
"60758","T.A. Kouwerplantsoen 1963","T.A. Ek 38.01.1",
"51258","T.A. Ea 5.10","T.A. Achter de Dom 1925 (1)",
"70935","Es 24 7 1","T.A. Steenweg 1960  (1)",
"57617","T.A. Gruttersdijk c. 1930 (2)","T.A. Eg 21.7",
"77643","T.A. Zg 21.1","D.O.W. 905 M",
"87286","D.O.W. 800 A","Verzameling 172 (424)",
"81247","T.A. Jd 2.29 (A)","D.O.W. 483",
"74868","Ez 12 45","T.A. Zwarte Water ± 1930 (9B)",
"75049","T.A. Th 22.4","Verzameling 200 (3-42)",
"76426","Verzameling 200 (4-51)","T.A. V 5.67 (A)",
"41442","T.A. Mariaplaats 1972 (4)","D.O.W. 130 Q",
"43250","D.O.W. 353 K","T.A. Es 22.10 (2d)",
"83918","T.A. F 6.6 (B)","D.O.W. 334 D",
"51237","T.A. Achter Clarenburg 2 A c. 1925 (1)","Ea 4.7",
"87313","Verzameling 172 (457)","D.O.W. 813",
"57602","T.A. Grote Eligensteeg 1925 (B)","T.A. Eg 20.1",
"40749","D.O.W. 48 Aj","Verzameling 172 (240)",
"57057","T.A. Geertebolwerk c. 1915 (1A)","T.A. Eg 7.6",
"67355","Eo 15565","T.A. Oudegracht (Hamburgerbrug-Weesbrug) ± 1900 (4)",
"62065","T.A. Lauwerecht 11bis-17 1963","T.A. El 18.3.1",
"43712","D.O.W. 425 F","T.A. Ev 3.4",
"42650","D.O.W. 216 (H)","D.O.W. 216 J (1)",
"69618","D.O.W. 631 R","T.A. Rotsoord 36 1975 (1)",
"43114","D.O.W. 326 B","T.A. Ja 6.29 (5)",
"71821","T.A. Uit en In 1936","T.A. Eu 1.2",
"63856","T.A. Em 11.13","T.A. Mariastraat 28 1957",
"41844","T.A. D.O.W. 152 T","T.A. Oudegracht (Bakkerbrug-Stadhuisbrug) ca. 1900 (6)",
"65009","T.A. Nieuwegracht 35 (Paulusbrug-Brigittenbrug) 1906","T.A. En 13.76",
"43610","Verzameling 172 (791)","D.O.W. 394 Q",
"41932","T.A. D.O.W. 154 Ac","T.A. Catharijnesingel 1931 (1A)",
"65720","T.A. Notebomenlaan c. 1953 (1)","D.O.W. 772",
"54990","T.A. Catharijnesingel  1961 (1)","T.A.  Ec  3.28.2",
"60957","T.A. Kromme Nieuwegracht    49    c.  1880","T.A.  Ek  38.96",
"73116","D.O.W. 998","T.A. Vredenburgpassage 77 1981 (3)",
"54914","T.A. Catharijnebaan 1973 (7)","D.O.W. 924 Aq",
"78813","Verzameling 200 (5-19)","T.A. Sa 14.4  (B)",
"75496","D.O.W. 450","T.A. T 3.21",
"56665","T.A. Eykmanlaan 1962 en 1963","T.A. Ee 7.7",
"61064","T.A. Kromme Nieuwegracht 36-38 1934","T.A. Ek 38.69",
"43418","D.O.W. 374 B","T.A. Jc 2.54 (1)",
"42649","D.O.W. 216 (G)","D.O.W. 216 J (8)",
"73991","T.A. Wittevrouwensingel 1928","Ew 25 6",
"79085","T.A. Rc 1.18.1 (D)",,
"24370","14.12.8.8",,
"46160","D.O.W. 945 C",,
"41054","D.O.W. 76 Y",,
"69192","T.A. Prinsenstraat 48-lager 1991 (1)",,
"81909","T.A. Ja 5.47 (6)",,
"83940","T.A. F 7.14",,
"89016","Doos 50, nr. 16",,
"60859","T.A. Kromme Nieuwegracht  33   1986  (3)",,
"70086","T.A. Jan van Scorelstraat 2 1982 (3.11)",,
"81108","T.A. Ke 4.6.2",,
"89686","Doos 65 nr. 11",,
"80338","T.A. Na 3.41.6.1",,
"77831","T.A. Zh 2.25",,
"60324","T.A. M. de Klerkstraat 45 1978 (1)",,
"55508","T.A.  Croeselaan 39   1984  (13)",,
"60702","T.A. Korte Nieuwstraat 2 1982 (1)",,
"71753","T.A. Twijnstraat (63) 1989 (1)",,
"44648","D.O.W. 592 Ad",,
"69717","T.A.   Rijksstraatweg  32B-C  1996 (1)",,
"51037","T.A. Abeelstraat 23- lager 1986 (1)",,
"72454","T.A. Vogelsanglaan 1   1966 (1)",,
"77865","T.A. Zi 3.35",,
"67590","T.A. Oudegracht 270-272 (Weesbrug-Smeebrug) 1931(1)",,
